id,last_date,avg_last_day_mood,activity,mood,screen,emotion,count_call_and_sms,total_app_use,social_ratio,productive_ratio,passive_entertainment_ratio,adventure_ratio,miscellaneous_ratio,is_last_day
AS14.01,2014-03-16,7.075177,0.08085631600000001,7.075177,0.0,-0.18513868669886202,3.4670928514088604,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS14.01,2014-03-17,7.075177,0.08085631600000001,7.075177,0.0,-0.18513868669886202,3.6541487599244116,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS14.01,2014-03-18,7.075177,0.08085631600000001,7.075177,0.0,-0.18513868669886202,3.1700674407407847,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS14.01,2014-03-19,7.075177,0.08085631600000001,7.075177,0.0,-0.18513868669886202,2.5751192082904657,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS14.01,2014-03-20,7.075177,0.08085631600000001,7.075177,0.0,-0.18513868669886202,2.077968292119544,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS14.01,2014-03-21,6.2,0.08100212267150313,7.075177,480.03167805697603,-0.18513868669886202,1.6281275407572355,480.03166708937437,0.16502894784371427,0.0014274769663651635,0.023765723630516922,0.0,0.005255803202566158,0.0
AS14.01,2014-03-22,6.4,0.08233460248562391,6.890588678008391,3383.8753393846223,-0.13765346668835274,2.6229303876776657,3383.8753579343074,0.28533375523930526,0.008897777071173578,0.03537742663305738,0.006896018293665548,0.01260967538263481,0.0
AS14.01,2014-03-23,6.8,0.11510176960739589,6.765749340757979,4357.333474256672,0.023425570757006457,2.8697287226667614,4357.333428610157,0.4334463971821385,0.01255055237497541,0.03503837101130888,0.007449998054147775,0.01840937023505401,0.0
AS14.01,2014-03-24,6.0,0.12489534096026383,6.737156204011123,5371.383972015575,0.07637312757464108,2.4808850927451425,5371.383776744646,0.5563283755846954,0.013564034511670186,0.0345384598462599,0.007653921594514362,0.019749175114555127,0.0
AS14.01,2014-03-25,6.75,0.12030473492811444,6.542551730303293,8033.947516938261,0.14115529154484766,4.006693327357794,7160.059299057716,0.6863659595963966,0.013574150547527803,0.03911445058176301,0.00764124076640288,0.01974018991807878,0.0
AS14.01,2014-03-26,6.6,0.11564394426520903,6.524652883600493,9743.631128484552,0.2018817716974348,3.7205686271523755,8703.102055383531,0.7989572387113028,0.017600988243996783,0.03675624843026783,0.006914080565663099,0.027990393861542968,0.0
AS14.01,2014-03-27,7.0,0.11144967716755036,6.476820024799062,10868.968746614062,0.1787906588779944,3.250756875081868,9927.458810706254,0.8080119541166013,0.016478936695183702,0.03441328234073842,0.006256118807127206,0.024482951300555472,0.0
AS14.01,2014-03-28,6.4,0.11105064571361481,6.619209450180091,10195.931012152367,0.19089283147871278,2.8796356979949973,9186.314305825212,0.8093356956164768,0.0205913068257176,0.03913179886787622,0.003031159805812345,0.02364192276311062,0.0
AS14.01,2014-03-29,8.0,0.0894441395104782,6.598348912910037,9553.127077919064,-0.01061904955917119,3.1971678748144554,8639.588146859487,0.695103804144511,0.032871988655687544,0.08668753426473781,0.03576784485975801,0.0401075146104151,0.0
AS14.01,2014-03-30,7.5,0.07879474019867341,6.870637051533759,9376.27247609951,0.01405411641314299,3.94749421037624,8496.625445612659,0.6359670209909242,0.0430827350086753,0.1263577393802556,0.03345714993288712,0.05430043275722092,0.0
AS14.01,2014-03-31,7.4,0.07251092696005942,7.104158107406731,7440.183693706788,-0.09415727143728343,2.414312117665917,7108.993323469338,0.5473071467125243,0.04076284945193583,0.21002512421299036,0.029880504293525168,0.05974890322893418,0.0
AS14.01,2014-04-01,6.0,0.07161959474976587,7.2075505285976185,7222.343237509371,-0.114135231160693,3.33429961034741,7059.76441567285,0.530752792229223,0.03897725539979512,0.22535669838482486,0.03069091907093272,0.05862929682979528,0.0
AS14.01,2014-04-02,6.5,0.07720163826128335,7.023185201362458,8338.279292377707,-0.07251025428599923,3.2279144674853795,8191.171909117087,0.5217044577466342,0.050412150560726246,0.213471255922721,0.04693380420182841,0.06069019852549602,0.0
AS14.01,2014-04-03,6.4,0.08020706720351153,6.91552112918729,9739.566192653185,-0.04458380418476908,3.417140955392833,9434.743604487932,0.5328117845055378,0.05020691948471037,0.20435885548669247,0.04183358230339705,0.06153880065271512,0.0
AS14.01,2014-04-04,6.2,0.07396947142919558,6.866462807476809,11808.635469126135,-0.12969366360340714,3.3568544918624634,11532.820517375996,0.6185607118460342,0.0389134477527721,0.16911628894373465,0.019559085525837627,0.047368948181832994,0.0
AS14.01,2014-04-05,6.8,0.08575640558051889,6.594685382689005,11637.702696419878,-0.12362901336976179,3.0913896267588017,11417.245489277486,0.6534715071768398,0.029853934153732158,0.15743865980660565,0.020055760425520767,0.038287210801107426,0.0
AS14.01,2014-04-06,6.5,0.0936628261441883,6.533196667191881,10851.731401609472,-0.11907654417980003,2.7972050080195827,10658.617429760543,0.6939557233695782,0.03317426529664753,0.09240555368772518,0.03004426598233157,0.04092003975688536,0.0
AS14.01,2014-04-07,6.5,0.08706443684714034,6.4258600350066475,10001.565954054355,-0.18683819419691602,2.6801604147572933,9826.829107994465,0.6642310425161745,0.02878489870919492,0.0737209807482008,0.02517986185173128,0.036898658840657204,0.0
AS14.01,2014-04-08,6.6,0.07776802673619324,6.490791803070279,9273.33647504846,-0.2112739499604666,2.520272011575216,9115.228101733974,0.6972190734435535,0.021156957739309264,0.0669970625879304,0.013588974311398043,0.03475584035606173,0.0
AS14.01,2014-04-09,7.4,0.07445792224159083,6.512759620575377,9775.034064413849,-0.2972383988086689,2.028340496257207,9112.577583916922,0.7145654324789718,0.014629390766134103,0.07720867066664266,0.012295812429682387,0.030396153578271724,0.0
AS14.01,2014-04-10,7.4,0.08706368603877311,6.712944541040461,9747.50561047563,-0.3462861317904789,2.2159687053873096,8709.671534933872,0.7109091146132719,0.01662153899397191,0.07986909964170705,0.011018370731637608,0.03180339472623268,0.0
AS14.01,2014-04-11,7.0,0.07769463980837224,6.917229914631078,9590.072013339844,-0.3900858096739627,3.1342408161245525,8261.373444661253,0.7125177873177272,0.0267081128683636,0.07585424248925027,0.008195630037058024,0.04123390250440061,0.0
AS14.01,2014-04-12,7.25,0.07523475717677217,6.948257096691425,9892.997213375827,-0.5276623568214569,2.8359783675650587,8602.610214821092,0.6822382046426008,0.02911100253299648,0.09803456859884123,0.0018929534726206778,0.03818224846769321,0.0
AS14.01,2014-04-13,8.0,0.0775643044234798,7.063786356811806,9026.189529874866,-0.5526812534839218,2.1030880031682755,7858.599045325219,0.6523444139736273,0.03946233816155818,0.1698567049413158,0.0019120460708914855,0.04865372266548719,0.0
AS14.01,2014-04-14,7.2,0.06727513147751926,7.326508117071978,7541.635747519916,-0.7456445692846284,1.7871998835529026,6484.940009577372,0.6149708194783752,0.042278371910793706,0.17454468275086968,0.0010043139879926603,0.05054577003988005,0.0
AS14.01,2014-04-15,7.0,0.06984686459389565,7.3839209790937685,7029.383522220258,-0.7802450731017577,1.9232033272125384,6436.08276318926,0.5852887354552827,0.051750167122972326,0.20206003364740246,0.0014049243256082213,0.05834009040582158,0.0
AS14.01,2014-04-16,7.2,0.06827129628224661,7.301084933398531,6638.457740351229,-0.6178142173667048,3.1754137463109338,6342.226218046007,0.6020186971281941,0.04935858409137423,0.19008554098762503,0.0014194488887624348,0.05611971321170226,0.0
AS14.01,2014-04-17,6.6,0.07587642176423358,7.268314863111408,7353.5964263608075,-0.46292419723629574,2.273878746554228,6717.876155627415,0.6317153337321684,0.043229675938171924,0.171521030842881,0.0012843704675418136,0.04887801051131487,0.0
AS14.01,2014-04-18,6.8,0.07140204968679044,7.158415161118269,7472.529756189047,-0.3583681137469059,2.4793214081596164,6765.138529562677,0.6956495531699103,0.03559223239386369,0.14177946941863173,0.0006097743314066345,0.04296769770329527,0.0
AS14.01,2014-04-19,7.8,0.07376714912533937,7.0722186731598695,8061.073096080332,-0.3941397759292152,2.4542981985407493,7420.999096702324,0.7149431169847522,0.029698899959945856,0.09996387066100756,0.002025821696349253,0.032885511133771125,0.0
AS14.01,2014-04-20,7.25,0.08609599093704881,7.118325656299935,8154.319736450806,-0.25412445669677475,2.431656262158241,7531.917110758901,0.7140845678934749,0.032481980273197576,0.09718173754505316,0.00729802604534296,0.03196438645079599,0.0
AS14.01,2014-04-21,7.6,0.08397257748621992,7.136643768581669,7716.7858379359095,-0.18614591666548816,2.81240957193096,7153.612722475497,0.7464740321916775,0.02504584175144013,0.0739924253339892,0.006331215792731261,0.024656966271902926,0.0
AS14.01,2014-04-22,7.4,0.08474339396352025,7.250189645014333,6776.988482287884,-0.2317064157436339,1.9248287334997358,6267.40840627863,0.7161598803012352,0.03263257798024272,0.06169536166332596,0.009232181077057925,0.03263477399264703,0.0
AS14.01,2014-04-23,7.6,0.08423855337870198,7.287596552226976,7642.756249719638,-0.19988434538193078,2.0477350604456896,7500.809145581239,0.7221013367241585,0.033114134783719114,0.06588528852549423,0.008353622888605538,0.03290037319271955,0.0
AS14.01,2014-04-24,7.6,0.07933288238580287,7.433078506067807,8453.86523174819,-0.11089907112842211,1.8322770517431461,7989.104801485492,0.7223466102928147,0.03495665516604234,0.06492245908940975,0.00755867056577193,0.03443029679446002,0.0
AS14.01,2014-04-25,7.2,0.07290279444957884,7.541565454524713,9208.516700602733,-0.1106299815353362,1.7530754185898492,8787.984142453963,0.7256411982275482,0.03854093255320259,0.07893095563982566,0.006725765878939066,0.03864667248257841,0.0
AS14.01,2014-04-26,7.6,0.07745830977115085,7.439609502880653,9446.641326906883,-0.11069804655859469,2.1032416515438337,9089.923184901882,0.7574641399455012,0.03441346820541364,0.072871988834089,0.004355945779135843,0.03695973191844919,0.0
AS14.01,2014-04-27,7.5,0.08572382741061456,7.495386169006725,8820.514420508489,-0.12064316146171487,2.916488324645738,8266.325510384475,0.7044949346198947,0.048009022391431226,0.06261175726611225,0.029621000933124295,0.051187715590925664,0.0
AS14.01,2014-04-28,7.6,0.0734614792970645,7.4842499495631625,8244.814856051797,-0.0744365961798289,2.4074420951319073,7743.363993971796,0.6700974630284634,0.03892688629348394,0.09564762119193893,0.024834807076289545,0.05160959732849382,0.0
AS14.01,2014-04-29,7.0,0.05997941737440431,7.518415590252456,7579.172461850432,-0.22548945146620444,2.3686688533583165,7086.770669070743,0.6540838816449465,0.04529826824441683,0.09704520005416598,0.02247146271233101,0.055350626998158944,0.0
AS14.01,2014-04-30,7.8,0.07062194654991388,7.3996301230718515,7162.781640799553,-0.26092832682233325,2.0275073743186547,6893.236701849571,0.591355734318388,0.049237271842210856,0.13643490753506596,0.021502099167596198,0.05916790372709994,0.0
AS14.01,2014-05-01,8.0,0.08651466920985953,7.460880921328215,6381.51892251054,-0.2572895129519534,1.9297271195913996,6053.254459672369,0.5908339361069932,0.04542674850321018,0.1255593442105595,0.02929072011183702,0.05960541166748806,0.0
AS14.01,2014-05-02,7.6,0.07347521947227151,7.604787152949723,7050.871155025921,-0.2986508918054989,3.718900387099751,6753.845216367868,0.5959544358797482,0.057326111928888555,0.11338153553253176,0.025806639936878473,0.05515988294995143,0.0
AS14.01,2014-05-03,8.0,0.06946115160223056,7.604331595114769,7885.020319247863,-0.28926301822823247,2.554730378242296,7564.612234456671,0.6508095384258632,0.05304535259141123,0.10709086423301824,0.00925756212184925,0.039998989266890425,0.0
AS14.01,2014-05-04,8.0,0.07445428682640888,7.6998608396933825,8280.524694972648,-0.3039190859669871,2.522531056327112,7712.567824721626,0.640008305023666,0.053928394610352315,0.13612099092126545,0.013463614107263693,0.035986498420686505,0.0
AS14.01,2014-05-05,7.075177,0.0803278763370317,7.774723991191192,7832.98382500146,-0.3063732551011581,2.050974817649982,7218.683332821797,0.6292648770289073,0.04123361621355277,0.12557995089155746,0.012182381826249,0.02708188726949829,0.0
AS14.02,2014-02-23,6.8239837,0.2653549,6.8239837,0.0,-0.10968669557208,6.700535270318033,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS14.02,2014-02-24,6.8239837,0.2653549,6.8239837,0.0,-0.10968669557208,6.42295510813737,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS14.02,2014-02-25,6.8239837,0.2653549,6.8239837,0.0,-0.10968669557208,7.24695752956567,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS14.02,2014-02-26,6.8239837,0.2653549,6.8239837,0.0,-0.10968669557208,7.8356124115454655,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS14.02,2014-02-27,6.8239837,0.2653549,6.8239837,0.0,-0.10968669557208,7.491195884221721,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS14.02,2014-02-28,6.8239837,0.2653549,6.8239837,0.0,-0.10968669557208,7.634777579557152,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS14.02,2014-03-01,6.8239837,0.2653549,6.8239837,0.0,-0.10968669557208,8.397441921342658,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS14.02,2014-03-02,6.8239837,0.2653549,6.8239837,0.0,-0.10968669557208,8.074132576034819,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS14.02,2014-03-03,6.8239837,0.2653549,6.8239837,0.0,-0.10968669557208,6.4749171738531635,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS14.02,2014-03-04,6.8239837,0.2653549,6.8239837,0.0,-0.10968669557208,5.429127819488176,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS14.02,2014-03-05,6.8239837,0.2653549,6.8239837,0.0,-0.10968669557208,6.674373663967258,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS14.02,2014-03-06,6.8239837,0.2653549,6.8239837,0.0,-0.10968669557208,5.630193768185771,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS14.02,2014-03-07,6.8239837,0.2653549,6.8239837,0.0,-0.10968669557208,6.447276392916171,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS14.02,2014-03-08,6.8239837,0.2653549,6.8239837,0.0,-0.10968669557208,6.942296085851632,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS14.02,2014-03-09,6.8239837,0.2653549,6.8239837,0.0,-0.10968669557208,8.696881435630726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS14.02,2014-03-10,6.8239837,0.2653549,6.8239837,0.0,-0.10968669557208,8.249914071037136,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS14.02,2014-03-11,6.8239837,0.2653549,6.8239837,0.0,-0.10968669557208,9.47103385219779,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS14.02,2014-03-12,6.8239837,0.2653549,6.8239837,0.0,-0.10968669557208,10.331641482548195,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS14.02,2014-03-13,6.8239837,0.2653549,6.8239837,0.0,-0.10968669557208,9.530992283173035,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS14.02,2014-03-14,6.8239837,0.2653549,6.8239837,0.0,-0.10968669557208,8.54163743613798,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS14.02,2014-03-15,6.8239837,0.2653549,6.8239837,338.55404548983887,-0.10968669557208,7.605251644480935,336.44383674175015,0.13931741029912975,0.0,0.021216094935356655,0.0,0.029497033309924772,0.0
AS14.02,2014-03-16,6.3333335,0.2653549,6.8239837,1233.0986056677623,-0.10968669557208,7.894912840662993,1231.1892309241666,0.2097845618958424,0.0,0.03462995263873392,0.005515895626706666,0.026690019459873024,0.0
AS14.02,2014-03-17,6.75,0.2653549,6.720498008416644,1759.7415062869902,-0.08655208042513866,6.461897108821828,1671.8523326119034,0.30174570295476777,0.0,0.038383528168925846,0.0049909887570251015,0.05669560870039558,0.0
AS14.02,2014-03-18,8.2,0.2448356793834237,6.714741671079925,2663.2731206625035,-0.01289016071324409,5.533099612598845,2583.74764018809,0.4194408532154498,0.0,0.04736153141044138,0.004516033380353096,0.05533569250912618,0.0
AS14.02,2014-03-19,6.8,0.23711354364793238,7.015360476462293,3361.57887714294,0.10227244645951288,7.455179559714609,3289.621349227297,0.50855619738437,0.0,0.046861849636997036,0.004086275983642902,0.05406721202328042,0.0
AS14.02,2014-03-20,7.25,0.250405226824802,6.992090036197077,4305.452729939549,0.13898294911589665,7.5482065858634355,4045.534426729484,0.5702253383170502,0.0,0.05056476430143081,0.027300232058160834,0.05331396278839925,0.0
AS14.02,2014-03-21,7.5,0.2462744881555001,7.065946008806083,4471.506563750357,0.059360237405628714,8.455452335240551,4237.480804378119,0.5516557308175845,0.0,0.04137921313003593,0.02470227148728878,0.03631350516034875,0.0
AS14.02,2014-03-22,6.5,0.2532097877674528,7.185502510643232,4655.844574428639,-0.05223201218162212,9.160609401494758,4444.08937428588,0.5427702952429736,0.0,0.04656558642282086,0.03625563974905363,0.034310331437126015,0.0
AS14.02,2014-03-23,6.25,0.29247560162310177,7.139560441684832,5066.77726217014,0.058196229508919436,13.193898827411424,4912.597895222393,0.5136788351534071,0.0,0.06289056836453089,0.06180272098395008,0.014788814739303694,0.0
AS14.02,2014-03-24,6.4,0.30207176224898663,6.99703115567289,4951.972308498254,0.023719917264208294,13.3735607621804,4688.65298980097,0.46143579576083377,0.0,0.07074154260039095,0.11790091126708238,0.01447728972857235,0.0
AS14.02,2014-03-25,7.75,0.2808489928969881,6.731861026140777,4405.83164456537,-0.04253530885605541,11.303429913319434,4167.570392027012,0.4653475679896909,0.0,0.07003881393326213,0.1066811561349936,0.016857440533050855,0.0
AS14.02,2014-03-26,7.2,0.266206292415606,6.938714953070906,4061.626702408511,-0.2547411961940325,11.009657246602952,3952.9522117120523,0.47591424312475217,0.0,0.08330340812792005,0.08357560144940569,0.015518376270314693,0.0
AS14.02,2014-03-27,7.25,0.2752049108632266,6.957791871008459,4080.164404843634,-0.2883314532636492,9.74324573547962,3981.8316958505975,0.48025434492569125,0.0,0.10155200906721827,0.07562233142628265,0.013343696287806645,0.0
AS14.02,2014-03-28,6.8,0.2637582301837632,6.956660942250106,4002.4066702175924,-0.19578211794547776,8.175518379383119,3913.4315481265553,0.5105363336948856,0.0027301521780529244,0.1021824231558764,0.059133827299880745,0.02882494807122119,0.0
AS14.02,2014-03-29,7.25,0.24220261189107706,6.976478533033551,3719.0446301269862,-0.3109569538236548,6.497095398966446,3604.1675604977895,0.536828379038184,0.0024703438476346594,0.09609864562180853,0.03759246507327987,0.032961457139197986,0.0
AS14.02,2014-03-30,7.0,0.27915023264354794,7.118260377188952,3567.2337505784562,-0.3209121279244333,5.680701177708865,3531.2382034403095,0.539736458690267,0.0022352595487547633,0.09540236434060294,0.02925547002076406,0.03108957233844112,0.0
AS14.02,2014-03-31,7.2,0.2855314675511881,7.17645811543338,3479.2129351540116,-0.4439297506673603,6.881416398694059,3446.642845064889,0.489958169613528,0.0020225464787354845,0.16699687272043978,0.02647144395701657,0.03240872721619551,0.0
AS14.02,2014-04-01,7.4,0.26465840582938976,7.115034362628084,3685.093807067054,-0.36065889991504047,8.79093987427583,3582.7123316473803,0.5094954593691852,0.0018300757336767374,0.1555334595850442,0.02395235300175048,0.03196091715989629,0.0
AS14.02,2014-04-02,6.4,0.2606983999145126,7.16530299547868,3578.2752281746184,-0.3045227736614511,8.008353413568662,3485.6366540502668,0.4682419163262243,0.0016559210016703233,0.1276477090898685,0.026673302430331426,0.03642363070361379,0.0
AS14.02,2014-04-03,5.75,0.2767071913568107,6.994084876578275,3783.797771178174,-0.25023375020093763,7.32083015424473,3699.9749837407057,0.47059162534884286,0.0,0.11665043451679456,0.024135002101553372,0.028446618658644323,0.0
AS14.02,2014-04-04,6.4,0.28811572502412613,6.7541540706475764,4079.304413148764,-0.18474983978821016,5.888463537484424,4025.2908765477723,0.4870380495012101,0.0,0.11698444811172218,0.03393081684879971,0.023613154398756806,0.0
AS14.02,2014-04-05,7.4,0.25857315370407336,6.6220619450058384,4063.061363130826,-0.19608461153254578,5.919667888412782,4009.672930363815,0.5190178252936994,0.0,0.1009430663680543,0.014646130342523704,0.028318958275445446,0.0
AS14.02,2014-04-06,5.25,0.27386534949580266,6.742393672981679,4630.797227511902,-0.09061006726348143,6.192209992285925,4473.125147120246,0.5198410353844907,0.0,0.07620296314998452,0.023829420657130774,0.02549925831465154,0.0
AS14.02,2014-04-07,6.8,0.2750940104643647,6.374655609238195,4188.399062118897,0.21869779930825992,5.016390441777889,4055.5466802860014,0.5447725594692869,0.0,0.07008324198716875,0.02156175146069097,0.023520979936200483,0.0
AS14.02,2014-04-08,6.25,0.24738764051309758,6.345680778605241,4472.434739913923,0.2164064056780375,4.61359010399037,4352.224950397508,0.5821509683212538,0.0,0.08822233349362904,0.016765647265097078,0.020512714688625113,0.0
AS14.02,2014-04-09,7.25,0.24215599507791044,6.319212623398394,4329.098949361534,0.1555578460062638,6.263112875401884,4220.328537540935,0.5978166811339469,0.0,0.08296086573154773,0.015170184983052086,0.022542021850285008,0.0
AS14.02,2014-04-10,7.25,0.2339212098018034,6.581418006119762,4214.790449962729,0.11439013259800285,8.177493635078042,4116.371017163897,0.5861611456373484,0.0,0.09197931948116146,0.007090011253002396,0.022002083168947535,0.0
