id,batch,avg_last_day_mood,activity,mood,screen,emotion,count_call_and_sms,total_app_use,social_ratio,productive_ratio,passive_entertainment_ratio,adventure_ratio,miscellaneous_ratio
AS14.01,0,7.075177,0.08085631599999998,7.075177,0.0,-0.185138686698862,3.4904891264761075,0.0,0.0,0.0,0.0,0.0,0.0
AS14.01,1,7.075177,0.080856316,6.877904027882699,0.0,-0.1608850774311209,1.5467188506298502,0.0,0.0,0.0,0.0,0.0,0.0
AS14.01,2,7.075177,0.08085631600000001,7.075177000000001,0.0,-0.18513868669886205,4.220182621653934,0.0,0.0,0.0,0.0,0.0,0.0
AS14.01,3,6.4,0.08233460248562391,6.890588678008391,3383.8753393846223,-0.13765346668835274,2.6229303876776657,3383.8753579343074,0.28533375523930526,0.008897777071173578,0.03537742663305738,0.006896018293665548,0.01260967538263481
AS14.01,4,8.0,0.0894441395104782,6.598348912910037,9553.127077919064,-0.01061904955917119,3.1971678748144554,8639.588146859487,0.695103804144511,0.032871988655687544,0.08668753426473781,0.03576784485975801,0.0401075146104151
AS14.01,5,6.8,0.08575640558051889,6.594685382689005,11637.702696419878,-0.12362901336976179,3.0913896267588017,11417.245489277486,0.6534715071768398,0.029853934153732158,0.15743865980660565,0.020055760425520767,0.038287210801107426
AS14.01,6,7.25,0.07523475717677217,6.948257096691425,9892.997213375827,-0.5276623568214569,2.8359783675650587,8602.610214821092,0.6822382046426008,0.02911100253299648,0.09803456859884123,0.0018929534726206778,0.03818224846769321
AS14.01,7,7.8,0.07376714912533937,7.0722186731598695,8061.073096080332,-0.3941397759292152,2.4542981985407493,7420.999096702324,0.7149431169847522,0.029698899959945856,0.09996387066100756,0.002025821696349253,0.032885511133771125
AS14.01,8,7.6,0.07745830977115085,7.439609502880653,9446.641326906883,-0.11069804655859469,2.1032416515438337,9089.923184901882,0.7574641399455012,0.03441346820541364,0.072871988834089,0.004355945779135843,0.03695973191844919
AS14.01,9,8.0,0.06946115160223056,7.604331595114769,7885.020319247863,-0.28926301822823247,2.554730378242296,7564.612234456671,0.6508095384258632,0.05304535259141123,0.10709086423301824,0.00925756212184925,0.039998989266890425
AS14.02,0,6.8239837,0.2653549,6.8239837,0.0,-0.10968669557208,6.700535270318033,0.0,0.0,0.0,0.0,0.0,0.0
AS14.02,1,6.8239837,0.2653549,6.8239837,0.0,-0.10968669557208,8.074132576034819,0.0,0.0,0.0,0.0,0.0,0.0
AS14.02,2,6.8239837,0.2653549,6.8239837,0.0,-0.10968669557208,8.696881435630726,0.0,0.0,0.0,0.0,0.0,0.0
AS14.02,3,6.3333335,0.2653549,6.8239837,1233.0986056677623,-0.10968669557208,7.894912840662993,1231.1892309241666,0.2097845618958424,0.0,0.03462995263873392,0.005515895626706666,0.026690019459873024
AS14.02,4,6.25,0.29247560162310177,7.139560441684832,5066.77726217014,0.058196229508919436,13.193898827411424,4912.597895222393,0.5136788351534071,0.0,0.06289056836453089,0.06180272098395008,0.014788814739303694
AS14.02,5,7.0,0.27915023264354794,7.118260377188952,3567.2337505784562,-0.3209121279244333,5.680701177708865,3531.2382034403095,0.539736458690267,0.0022352595487547633,0.09540236434060294,0.02925547002076406,0.03108957233844112
AS14.02,6,5.25,0.27386534949580266,6.742393672981679,4630.797227511902,-0.09061006726348143,6.192209992285925,4473.125147120246,0.5198410353844907,0.0,0.07620296314998452,0.023829420657130774,0.02549925831465154
AS14.02,7,7.2,0.2989530664273542,6.644274775264668,4536.554540264601,0.3692939927557036,7.190819367119272,4536.554631036409,0.5277475178448972,0.0004424655112583872,0.09010125941852476,0.047993717954607856,0.019171211400313585
AS14.02,8,6.0,0.3409538598448902,6.648204379915303,459.6261438116222,0.09010877822390048,10.414920067976905,429.8296908337845,0.5043200477825507,0.0029698085714185865,0.01589596037583342,0.0,0.003913011949674571
AS14.03,0,7.603901,0.100779966,7.603901,0.0,-0.05888939148000601,7.6510473838875965,0.0,0.0,0.0,0.0,0.0,0.0
AS14.03,1,7.603901,0.10077996600000001,7.603901,0.0,-0.058889391480006006,3.285266239426065,0.0,0.0,0.0,0.0,0.0,0.0
AS14.03,2,7.603901,0.10077996599999998,7.6039010000000005,0.0,-0.05888939148000601,3.249244725619552,0.0,0.0,0.0,0.0,0.0,0.0
AS14.03,3,7.603901,0.100779966,7.603901,0.0,-0.05888939148000601,6.537228862619318,0.0,0.0,0.0,0.0,0.0,0.0
AS14.03,4,7.75,0.1101125280962024,8.110923931792296,3330.2316805041405,0.184631848180024,4.545287488432465,3330.231653285853,0.30063889493844664,0.04301132400793527,0.4453047621646531,0.022434827398919017,0.08136320228272079
AS14.03,5,7.8,0.11184596171986537,7.840831815064043,2824.754800148523,-0.01698370636035825,2.1756617275231136,2823.7469050458844,0.25717174346674293,0.023004093800905363,0.49024812618781843,0.0049241334304874354,0.05235532305788039
AS14.03,6,7.4,0.09446892805146803,7.470063009684801,2903.497061412052,0.4831674981474622,2.1499633546898624,2860.218600316556,0.29488557395218795,0.02247635990142552,0.4897717871209484,0.000981993798719605,0.07494108818924634
AS14.03,7,7.25,0.09171802674491579,7.558931772314242,3694.7065447130162,0.3032296747031255,2.9003637017002384,3694.7064412169834,0.2743573385089738,0.01934965491688122,0.5134320614923272,0.0,0.04395803442150795
AS14.03,8,7.4,0.10694339577146433,7.438772663395407,3139.397347547523,0.30377141493318766,2.984678314954362,3136.651548074654,0.3402785737082675,0.017103841488103805,0.4556716384440552,0.01657131738581171,0.04803602214449976
AS14.03,9,7.2,0.0924058778008425,7.266572572281838,3230.7547434843996,-0.9913829636871784,1.4451104271811308,3176.651633744722,0.34827335496131173,0.03734256774469403,0.5302226589772787,0.011122200739087878,0.03891487497089122
AS14.03,10,7.603901,0.09813745744738306,7.544323575343389,2844.3894337615666,-0.746001038090379,3.6388345720966213,2843.1745605814217,0.3058589115252629,0.005599917714288327,0.468938964621412,0.01117969346367845,0.06991987633316311
AS14.05,0,6.737264,0.060943109999999995,6.737264,0.0,-0.27738964278183204,1.5045078745083722,0.0,0.0,0.0,0.0,0.0,0.0
AS14.05,1,6.737264,0.06094311,6.737264,0.0,-0.27738964278183204,2.5151351612098227,0.0,0.0,0.0,0.0,0.0,0.0
AS14.05,2,6.0,0.06094311,6.769235001110813,2450.8114039733746,-0.47351396658677647,3.0386334402337556,2450.8113517941415,0.44376821823097956,0.004389917950619004,0.0675799030762936,0.0,0.04036145535832029
AS14.05,3,4.125,0.06982627694399032,6.066492454965522,3169.9079630347546,0.6378679953847592,4.280158850102158,3013.543186937526,0.7548255034277156,0.002816789012328257,0.1416141475044198,0.0,0.039172132096478886
AS14.05,4,6.8,0.06640379072851559,5.9658324993994905,4676.21609978588,-0.2903883568232169,2.3615287196106696,4580.55302092766,0.7665814158910287,0.012115795475743438,0.10355019954008977,0.0,0.053046886540842844
AS14.05,5,6.75,0.05665570089126611,7.084488994098573,3502.171226351458,-0.3629960043835748,1.1307238104685886,3435.088565840848,0.6724735908304893,0.006990735478789092,0.1258140764488919,0.0,0.089902309038568
AS14.05,6,6.4,0.07119114174841099,7.1047260385829265,3969.2429766921355,-0.04222212591047791,3.739990389791631,3930.362258633781,0.6789150404647988,0.0022238822407298292,0.12129558630741781,0.0,0.04379485092071096
AS14.05,7,7.2,0.07621382143980417,7.132469557661645,4045.568339439197,-0.3419625657811704,0.7270541994226734,4044.8730297535612,0.7782867741683047,0.0070846757508917805,0.07888868126189925,0.0,0.0659048884513785
AS14.05,8,7.0,0.05788546788401841,7.356689580279885,4256.128220444207,-0.6704042610162907,1.487815465389172,4256.128194105331,0.7945437783534156,0.009273377024706294,0.0782992592992231,0.0,0.05294393243542884
AS14.05,9,6.3333335,0.037857754562872846,6.8954536294241375,4347.72940588271,-0.009238655619855353,2.7756763707469685,4286.558143384498,0.8081838294052683,0.0036164366942879134,0.04721055194760325,0.0,0.051588240245891905
AS14.06,0,7.16,0.15285060000000003,7.160000000000001,0.0,-0.18383675275583006,4.085229243859116,0.0,0.0,0.0,0.0,0.0,0.0
AS14.06,1,7.16,0.1528506,7.160000000000001,0.0,-0.18383675275583006,9.33404172778037,0.0,0.0,0.0,0.0,0.0,0.0
AS14.06,2,7.16,0.1528506,7.16,0.0,-0.18383675275583003,2.566468810984443,0.0,0.0,0.0,0.0,0.0,0.0
AS14.06,3,7.16,0.1528506,7.16,0.0,-0.18383675275583003,2.2197253184447288,0.0,0.0,0.0,0.0,0.0,0.0
AS14.06,4,7.8,0.12531633641601334,7.439488814550681,5794.329709290396,0.08047940596902335,1.0598070689648142,5793.090531997713,0.6675210683538372,0.006787184835575686,0.2685162155670759,0.013249692144897334,0.021706496337920635
AS14.06,5,7.0,0.18133802456574452,7.109322214928776,5853.531937456532,-0.13049459591548446,1.9442658101780304,5787.456986542682,0.6789988948789982,0.0033549431908393955,0.19953063385362163,0.02254596016606119,0.009469430010982646
AS14.06,6,6.5,0.18043231072628993,7.412989919735972,5928.64547414428,0.06856805931238676,2.110348837135963,5874.6811052870635,0.6631527191188619,0.006434318735882438,0.22756209712120956,0.03265323255918674,0.011586737931199085
AS14.06,7,8.2,0.14870893659109047,6.905878865025219,6464.023686842927,-0.10730792785217382,2.8492654017460275,6334.010376124371,0.6608417562107657,0.007933377738620436,0.21775258013595103,0.016515428792170016,0.019344243943765715
AS14.06,8,7.2,0.16980675558322458,7.063911082558945,7449.885112172956,-0.12729591515517974,6.016658006451109,7400.119834532787,0.6516801531323458,0.008968697354494341,0.21555001019553385,0.024763517196667566,0.0107219386432245
AS14.06,9,7.6,0.1926275619215614,7.024778752193271,4451.967581469192,-0.22491615677492163,1.547754170499971,4439.944736377138,0.6983088549683687,0.016491045928566327,0.19039280471825049,0.024760116276436667,0.013935708836403675
AS14.07,0,7.75,0.06782676000000001,6.1885760843234365,5594.7056327117125,-0.17710573157740006,1.037252069677876,5427.201610560312,0.5660228608661716,0.0008232716208396016,0.16212225557371324,0.010111427079364427,0.028349322417777045
AS14.07,1,6.2,0.08294786027329094,7.3636991521122175,8130.588571984723,0.11602371786012995,7.075820438252683,7800.793316120834,0.5863822372293886,0.00023763044643729266,0.20137012121225475,0.026282263042105958,0.027015720846243825
AS14.07,2,6.75,0.0911110984603253,5.92345108515247,5276.718883201975,-0.17574742074582908,10.51282686744158,5276.718727019915,0.5513221438630946,0.007890595038272193,0.2061599499782054,0.02675925875972083,0.027355406330484482
AS14.07,3,6.5,0.07640532751001512,5.740641009951246,4357.003970827204,-0.23845467087624472,5.342965984640088,4356.411457289284,0.5873948272751893,0.00018510122836208246,0.20788645183854684,0.03008364435728948,0.02629524431786325
AS14.07,4,3.0,0.04262000674718011,5.5086104771438595,3715.191382692119,0.1355201702492977,2.6914952639157064,3600.904459356616,0.6364332522886268,0.0,0.19392899745543105,0.0008384682961122853,0.03264220862776586
AS14.07,5,6.0,0.06389631451188829,5.372215804492046,3667.7399891373025,-0.11922748847203991,2.899808305965057,3544.15837896762,0.702961891851954,5.6196509863984924e-05,0.11455495484037653,0.0034003070101903937,0.033258705324786274
AS14.07,6,8.0,0.07307056261618408,5.593494904019444,4718.534883757941,-0.1050326682580089,3.159843743032549,4718.388630611182,0.6459035720989841,6.671645185959228e-05,0.1120165538317482,9.290334883724744e-06,0.04802771197130185
AS14.08,0,7.2,0.046439156,6.619413833430554,0.0,-0.12073062407588624,2.9883508001921566,0.0,0.0,0.0,0.0,0.0,0.0
AS14.08,1,6.6,0.046439156,6.9715464114042165,0.0,-0.04191822739448212,1.6470442386445852,0.0,0.0,0.0,0.0,0.0,0.0
AS14.08,2,6.4,0.039450580514804094,6.575542969465676,1611.322555848847,-0.3908244824632907,2.0422512512529263,1607.692217130581,0.7887634692980018,0.0070029279047842605,0.03291322222808459,0.04867680852424326,0.055123711173741444
AS14.08,3,6.3333335,0.03319035454481697,6.793425366791748,1564.8878950823641,-0.37996153843238184,2.069627883265546,1564.3732742108061,0.7613903217599073,0.03038828701769672,0.035527502183171224,0.04108276537162861,0.07274655895690355
AS14.08,4,7.0,0.0394349606241719,6.953780879756519,1292.1387076011074,-0.29789140077780274,1.945808336207137,1286.6468062334618,0.8669082687893218,0.0065050480958924,0.02092050238710647,0.0,0.05467394241935533
AS14.08,5,7.6,0.04907661272697952,6.960657013243441,1814.6061444599234,0.07641739012418147,1.4646339021029724,1766.729661979645,0.8690685567172626,0.006330080706958551,0.03673115142058303,0.0,0.034417668145977263
AS14.08,6,6.2,0.04005348386710541,6.902560151641547,1584.6347815566003,-0.09536664485615994,0.12792666707742376,1583.4218582943854,0.8221811194385885,0.014643829840453365,0.03756050151268957,0.0,0.06201096313150912
AS14.08,7,6.6666665,0.0466412109673873,6.301692499856,1373.5857480703523,-0.09259494853114307,0.0,1372.623735040708,0.8423334549330633,0.002702400002187437,0.059565953830938184,0.0,0.034424870058230986
AS14.08,8,7.0,0.02662480113050492,6.101004858580645,1142.467864656551,-0.30475143056646337,0.46874995203180947,1141.7291664674724,0.7573134060471122,0.009870544649369092,0.10607870984336742,0.0,0.027592354023585265
AS14.09,0,6.93442,0.06527931,6.93442,0.0,-0.08118620215816001,1.414101956808875,0.0,0.0,0.0,0.0,0.0,0.0
AS14.09,1,6.93442,0.06527931,6.934420000000001,0.0,-0.08118620215816001,3.02078287173573,0.0,0.0,0.0,0.0,0.0,0.0
AS14.09,2,6.93442,0.06527931,6.93442,0.0,-0.08118620215816001,4.857617685985001,0.0,0.0,0.0,0.0,0.0,0.0
AS14.09,3,6.75,0.06476634472322448,6.960767393160219,1424.6303261735775,-0.04856886779637385,3.355780784452782,1410.9424607776689,0.17560057264227402,0.0009767324301120756,0.19266387118738018,0.008922093216116556,0.014713517263867161
AS14.09,4,7.75,0.059808937581553236,7.6236814586113155,6029.740851471122,-0.10807080324213739,2.913267421665378,5892.050759805883,0.3856423355809809,0.009117830677000612,0.4948115950870515,0.02659326678843137,0.027127772579275868
